Name,File
Multiset.Pi.cons,Mathlib.Data.Multiset.Pi
Lean.Meta.forallBoundedTelescope,Lean.Meta.Basic
Int.fract,Mathlib.Algebra.Order.Floor.Defs
EuclideanGeometry.Sphere.secondInter,Mathlib.Geometry.Euclidean.Sphere.SecondInter
RingTheory.Sequence.IsRegular.recIterModByRegularWithRing,Mathlib.RingTheory.Regular.RegularSequence
Batteries.RBNode.Stream.foldl,Batteries.Data.RBMap.Basic
Batteries.BinomialHeap.Imp.Heap.foldM,Batteries.Data.BinomialHeap.Basic
Lean.addDocStringCore,Lean.DocString.Extension
Std.TreeSet.max,Std.Data.TreeSet.Basic
Submodule.orthogonalProjectionFn,Mathlib.Analysis.InnerProductSpace.Projection
Std.Range.forM,Init.Data.Range.Basic
Lean.throwUnknownIdentifier,Lean.Exception
MeasureTheory.StronglyMeasurable.induction,Mathlib.MeasureTheory.Function.StronglyMeasurable.Basic
Lean.Elab.elabAttrs,Lean.Elab.Attributes
Lean.Expr.modifyAppArgM,Mathlib.Lean.Expr.Basic
Std.TreeMap.forIn,Std.Data.TreeMap.Basic
Function.surjInv,Mathlib.Logic.Function.Basic
Polynomial.natDegree_ne_zero_induction_on,Mathlib.Algebra.Polynomial.Inductions
Not.imp_symm,Mathlib.Logic.Basic
Lex.rec,Mathlib.Order.Synonym
midpoint,Mathlib.LinearAlgebra.AffineSpace.Midpoint
Multiplicative.rec,Mathlib.Algebra.Group.TypeTags.Basic
MeasureTheory.hitting,Mathlib.Probability.Process.HittingTime
FreeRing.induction_on,Mathlib.RingTheory.FreeRing
Equiv.extendSubtype_mem,Mathlib.Logic.Equiv.Fintype
Nat.binaryRec',Mathlib.Data.Nat.BinaryRec
Monad.sequence',Mathlib.Control.Combinators
Lean.isEnumType,Lean.MonadEnv
Computation.get,Mathlib.Data.Seq.Computation
List.filterAuxM,Init.Data.List.Control
Sum.bitraverse,Mathlib.Control.Bitraversable.Instances
Set.IciExtend,Mathlib.Order.Interval.Set.ProjIcc
LinearOrderedField.inducedMap,Mathlib.Algebra.Order.CompleteField
Array.mapFinIdxM.map.induct,Init.Internal.Order.Lemmas
tsum,Mathlib.Topology.Algebra.InfiniteSum.Defs
Subring.InClosure.recOn,Mathlib.Algebra.Ring.Subring.Basic
